smiles,gpcr,name,bias,source,pkd
c1ccc(-c2[nH]c3ccccc3c2CCN2CCCCC2)cc1,5HT2A_HUMAN,CHEMBL91205,Unknown,ChEMBL,8.57
c1ccc(C2(c3ccccc3)CCNC2)cc1,5HT2A_HUMAN,CHEMBL76281,Unknown,ChEMBL,5.34
c1ccc(C2(c3ccccc3)CCNCC2)cc1,OPRM1_HUMAN,CHEMBL144261,Unknown,ChEMBL,4.77
c1ccc(C2CCN(CC3C[C@@H]4c5ccccc5Cc5ccccc5[C@H]4O3)CC2)cc1,5HT2A_HUMAN,CHEMBL96471,Unknown,ChEMBL,5.96
c1ccc(C2CCN(CC3C[C@@H]4c5ccccc5Sc5ccccc5[C@H]4O3)CC2)cc1,5HT2A_HUMAN,CHEMBL314968,Unknown,ChEMBL,7.16
c1ccc(CCCNCCCOc2ccccc2)cc1,DRD2_HUMAN,CHEMBL129931,Unknown,ChEMBL,6.28
c1ccc(CCCOCC2CCN(Cc3ccccc3)CC2)cc1,DRD2_HUMAN,CHEMBL80656,Unknown,ChEMBL,6.26
c1ccc(CCN2C3CCC2CC(N2CCC(c4c(-c5ccccc5)[nH]c5ccccc45)CC2)C3)cc1,5HT2A_HUMAN,CHEMBL330482,Unknown,ChEMBL,8.92
c1ccc(CCN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1,5HT2A_HUMAN,CHEMBL40584,Unknown,ChEMBL,9.32
c1ccc(CCN2CCC3(CCc4ccccc4O3)CC2)cc1,5HT2A_HUMAN,CHEMBL148418,Unknown,ChEMBL,7.8
c1ccc(CCN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,5HT2A_HUMAN,CHEMBL44310,Unknown,ChEMBL,7.23
c1ccc(CCN2[C@@H]3CC[C@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1,5HT2A_HUMAN,CHEMBL2113667,Unknown,ChEMBL,8.92
c1ccc(CN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1,5HT2A_HUMAN,CHEMBL327169,Unknown,ChEMBL,7.55
c1ccc(CN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,5HT2A_HUMAN,CHEMBL46523,Unknown,ChEMBL,7.7
c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,DRD2_HUMAN,CHEMBL328051,Unknown,ChEMBL,7.28
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,DRD2_HUMAN,CHEMBL88837,Unknown,ChEMBL,6.59
c1ccc(CNCC2c3ccccc3Cc3ccccc32)cc1,5HT2A_HUMAN,CHEMBL349543,Unknown,ChEMBL,6.14
c1ccc(OCCCNCCOc2ccccc2)cc1,DRD2_HUMAN,CHEMBL128524,Unknown,ChEMBL,6.6
c1ccc2c(c1)CCc1ccccc1C21CCNC1,5HT2A_HUMAN,CHEMBL72611,Unknown,ChEMBL,6.96
c1ccc2c(c1)Cc1cccc3c1C2CNC3,5HT2A_HUMAN,CHEMBL44893,Unknown,ChEMBL,6.53
c1ccc2c(c1)Cc1ccccc1C21CCCNC1,5HT2A_HUMAN,CHEMBL74766,Unknown,ChEMBL,7.0
c1ccc2c(c1)Cc1ccccc1C21CCNC1,5HT2A_HUMAN,CHEMBL307956,Unknown,ChEMBL,8.4
c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCCC3)CC21,5HT2A_HUMAN,CHEMBL316438,Unknown,ChEMBL,7.6
c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCOCC3)CC21,5HT2A_HUMAN,CHEMBL79249,Unknown,ChEMBL,6.85
c1ccc2c(c1)Cc1ccccc1[C@H]1OC(CN3CCOCC3)C[C@H]21,5HT2A_HUMAN,CHEMBL96429,Unknown,ChEMBL,6.36
c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,DRD2_HUMAN,CHEMBL64597,Unknown,ChEMBL,6.52
c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,DRD2_HUMAN,CHEMBL304692,Unknown,ChEMBL,5.64
c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,DRD2_HUMAN,CHEMBL303519,Unknown,ChEMBL,5.01
